,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS
245,2014-02-15,Clark,Nevada,89109,36.11,-115.12,0,5,32,003
246,2014-02-12,Lake,Indiana,46407,41.59,-87.34,0,5,18,089
247,2014-02-12,Alameda,California,94601,37.77,-122.21,1,3,06,001
248,2014-02-12,Orange,California,92624,33.45,-117.66,1,3,06,059
249,2014-02-07,None,Florida,NaN,25.7616798,-80.1917902,0,5,,
250,2014-02-06,Orleans Parish,Louisiana,70126,30.06,-89.93,0,4,22,071
251,2014-02-05,Cook,Illinois,60626,41.83,-87.68,1,3,17,031
252,2014-02-03,Johnson,Indiana,46131,39.49,-86.05,3,2,18,081
253,2014-01-27,Nash,North Carolina,27804,35.95,-77.81,0,4,37,127
254,2014-01-27,King,Washington,98104,47.6,-122.32,1,4,53,033
255,2014-01-25,Cook,Illinois,60609,41.83,-87.68,1,4,17,031
256,2014-01-25,Palm Beach,Florida,33430,26.68,-80.67,0,4,12,099
257,2014-01-21,None,New Jersey,NaN,40.735657,-74.1723667,2,3,,
258,2014-01-20,Prince William,Virginia,20109,38.74,-77.48,0,4,51,153
259,2014-01-16,Carter,Oklahoma,73401,34.19,-97.11,2,5,40,019
260,2014-01-16,Utah,Utah,84660,40.02,-111.55,5,0,49,049
261,2014-01-14,Los Angeles,California,90045,33.95,-118.4,0,4,06,037
262,2014-01-13,Wayne,Michigan,48202,42.38,-83.1,0,4,26,163
263,2014-01-12,Hinds,Louisiana,39209,32.32,-90.2,0,6,,
264,2014-01-12,Madison,Alabama,35805,34.7,-86.62,0,5,01,089
265,2014-01-12,Kane,Illinois,60120,42.03,-88.28,0,5,17,089
266,2014-01-03,Queens,New York,11434,40.68,-73.78,1,3,36,081
267,2014-01-01,Norfolk City,Virginia,23523,36.84,-76.28,2,2,51,710
268,2015-12-31,Orleans Parish,Louisiana,70115,30.06,-89.93,0,6,22,071
269,2015-12-27,None,Tennessee,NaN,37.0328728,-95.6316455,0,4,,
270,2015-12-26,Philadelphia,Pennsylvania,19124,39.95,-75.16,0,4,42,101
271,2015-12-25,Duval,Florida,32206,30.33,-81.65,0,4,12,031
272,2015-12-25,Mobile,Alabama,36695,30.68,-88.04,0,4,01,097
273,2015-12-21,Alameda,California,94578,37.7,-122.12,0,4,06,001
274,2015-12-20,Miami-Dade,Florida,33162,25.77,-80.2,0,4,12,086
275,2015-12-20,New Hanover,North Carolina,28401,34.21,-77.91,1,4,37,129
276,2015-12-20,Miami-Dade,Florida,33170,25.77,-80.2,1,4,12,086
277,2015-12-13,Los Angeles,California,90007,34.02,-118.28,1,3,06,037
278,2015-12-13,Orange,California,92647,33.72,-118.0,0,4,06,059
