,Incident Date,State,City Or County,Address,# Killed,# Injured,ST,Zipcode,Latitude,Longitude,Population At Incident,Density,Type
737,2016-08-27,Florida,Miami,1900 block of NW 83rd Terr,2,4,FL,33147,25.77,-80.2,45676.0,6475.3,Urban
738,2016-08-25,New Jersey,Bridgeton,Marion Street,0,5,NJ,08302,39.42,-75.22,45964.0,327.6,Rural
739,2016-08-21,Massachusetts,Boston,Westview and Stratton Street,0,4,MA,02110,42.35,-71.06,2124.0,9418.48,Urban
740,2016-08-21,Connecticut,Bridgeport,19 Plymouth St,0,13,CT,06610,41.18,-73.19,22921.0,7434.6,Urban
741,2016-08-20,Connecticut,Hamden,903 Dixwell Ave,0,4,CT,06514,41.37,-72.9,27475.0,2346.14,Suburban
742,2016-08-20,Washington,Tacoma,900 block of Pacific Avenue,0,5,WA,98402,47.26,-122.44,6023.0,6747.35,Urban
743,2016-08-20,Alabama,Citronelle,Jim Platt Road,5,0,AL,36522,31.09,-88.24,7135.0,32.64,Rural
744,2016-08-18,Connecticut,Waterbury,402 E Main Street,0,4,CT,05676,44.33,-72.75,4790.0,49.09,Rural
745,2016-08-17,California,Oakland,NaN,0,4,CA,NaN,37.8043637,-122.2711137,NaN,,
746,2016-08-14,Virginia,Norfolk,1600 block of Selden Avenue,0,4,VA,23523,36.84,-76.28,8623.0,3606.2,Urban
747,2016-08-14,Minnesota,Minneapolis,1717 Plymouth Ave N,0,5,MN,55411,44.96,-93.26,30703.0,6747.36,Urban
748,2016-08-13,California,Los Angeles,6300 block of 11th Avenue,0,4,CA,90043,33.98,-118.33,44328.0,10834.3,Urban
749,2016-08-13,Wisconsin,Milwaukee,4001 West Fond Du Lac Ave,2,2,WI,53216,43.06,-87.96,33174.0,6956.45,Urban
750,2016-08-13,New York,Richmond Hill,Jamaica Ave and 105th St,0,4,NY,11418,40.69,-73.83,39908.0,22202.08,Urban
