,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS,Density,Type,Population 2014,Population 2015,Population 2016,Population 2017,Land Area,Density 2014,Density 2015,Density 2016,Density 2017
111,2014-08-03,Harris,Texas,77338,29.99,-95.26,0,7,48,201,1282.07,Suburban,36257.0,38017.0,38300.0,40335.0,26.47,1369.739327540612,1436.2296939931998,1446.9210426898376,1523.8005289006423
112,2014-08-03,St. Louis City,Missouri,63115,38.63,-90.24,0,5,29,189,4866.48,Urban,20510.0,19463.0,18446.0,18799.0,4.27,4803.2786885245905,4558.07962529274,4319.906323185012,4402.576112412178
113,2014-08-03,Culpeper,Virginia,22724,38.63,-77.91,5,0,51,047,108.16,Rural,2088.0,2297.0,2252.0,2201.0,21.1,98.95734597156398,108.86255924170615,106.7298578199052,104.3127962085308
114,2014-08-03,Maury,Tennessee,38401,35.62,-87.04,0,5,47,119,181.11,Rural,53701.0,53977.0,55482.0,57246.0,300.73,178.56881588135536,179.4865826488877,184.491071725468,190.35679845708773
115,2014-08-02,Dallas,Texas,75241,32.79,-96.76,3,1,48,113,1007.41,Suburban,29658.0,29362.0,29117.0,29398.0,26.86,1104.169769173492,1093.1496649292628,1084.0282948622487,1094.4899478778852
116,2014-08-02,Orleans Parish,Massachusetts,70112,30.06,-89.93,0,7,,,4191.51,Urban,3054.0,2901.0,2749.0,2553.0,0.87,3510.344827586207,3334.4827586206898,3159.770114942529,2934.4827586206898
117,2014-08-02,Allegheny,Pennsylvania,15201,40.43,-79.97,1,5,42,003,5126.21,Urban,13162.0,13349.0,12805.0,12791.0,2.48,5307.258064516129,5382.6612903225805,5163.306451612903,5157.6612903225805
118,2014-08-01,Philadelphia,Pennsylvania,19146,39.95,-75.16,1,3,42,101,20776.92,Urban,36596.0,37728.0,37233.0,38486.0,1.69,21654.437869822486,22324.260355029586,22031.360946745564,22772.78106508876
119,2014-07-30,Cumberland,North Carolina,28348,34.97,-78.95,2,3,37,051,750.36,Rural,33385.0,33606.0,34428.0,35723.0,44.28,753.9521228545618,758.9430894308942,777.5067750677507,806.7524841915085
120,2014-07-28,Philadelphia,Pennsylvania,19120,39.95,-75.16,1,4,42,101,20007.05,Urban,77645.0,77534.0,76459.0,72376.0,3.4,22836.764705882353,22804.117647058825,22487.941176470587,21287.058823529413
121,2014-07-27,St. Louis City,Missouri,63107,38.63,-90.24,0,5,29,189,4961.27,Urban,11725.0,9949.0,10437.0,10238.0,2.4,4885.416666666667,4145.416666666667,4348.75,4265.833333333334
122,2014-07-26,None,Arkansas,NaN,34.2284312,-92.00319549999999,1,3,,,,,NaN,NaN,NaN,NaN,,,,,
123,2014-07-26,York,Maine,04072,43.53,-70.45,5,0,23,031,480.5,Rural,18757.0,18874.0,19008.0,19127.0,38.46,487.7015080603224,490.7436297451898,494.2277691107644,497.32189287571504
124,2014-07-26,Worth,Georgia,31791,31.52,-83.83,0,8,13,321,65.06,Rural,11817.0,11844.0,12064.0,12229.0,189.87,62.237320271764894,62.379522831410966,63.53821035445304,64.40722599673461
125,2014-07-25,Cook,Illinois,60612,41.83,-87.68,1,6,17,031,8933.01,Urban,35598.0,36531.0,35559.0,35332.0,3.75,9492.8,9741.6,9482.4,9421.866666666667
126,2014-07-23,Allegheny,Pennsylvania,15104,40.4,-79.86,0,4,42,003,3691.99,Urban,8913.0,8878.0,8839.0,8722.0,2.45,3637.959183673469,3623.6734693877547,3607.755102040816,3559.9999999999995
127,2014-07-21,Essex,New Jersey,07111,40.72,-74.23,0,6,34,013,18422.81,Urban,54268.0,54320.0,54303.0,54715.0,2.93,18521.50170648464,18539.249146757676,18533.447098976107,18674.0614334471
128,2014-07-21,Shelby,Tennessee,38126,35.1,-90.0,0,4,47,157,4036.32,Urban,6286.0,6095.0,6049.0,5867.0,1.82,3453.846153846154,3348.901098901099,3323.6263736263736,3223.6263736263736
129,2014-07-20,St. Clair,Illinois,62204,38.61,-90.13,1,3,17,163,1421.94,Suburban,8612.0,8503.0,8295.0,8416.0,5.6,1537.857142857143,1518.3928571428573,1481.25,1502.857142857143
